checkpoint,env,seed,buffer,batch,mean_reward,std_reward,episodes
checkpoint_final_Ant-v5_seed0_buf500000_batch256.pt,Ant-v5,0,500000,256,1430.2955359989533,480.6364398546953,10
checkpoint_final_Ant-v5_seed1_buf500000_batch256.pt,Ant-v5,1,500000,256,523.824213488106,385.83333756721265,10
checkpoint_final_Ant-v5_seed2_buf500000_batch256.pt,Ant-v5,2,500000,256,384.46684365626777,202.27161618867592,10
checkpoint_final_Hopper-v4_seed0_buf300000_batch256.pt,Hopper-v4,0,300000,256,1019.3592455501193,84.30470491496276,10
checkpoint_final_Hopper-v4_seed0_buf500000_batch128.pt,Hopper-v4,0,500000,128,2522.853722705842,712.2031459535283,10
checkpoint_final_Hopper-v4_seed0_buf500000_batch256.pt,Hopper-v4,0,500000,256,2736.903980411192,695.1736748450298,10
checkpoint_final_Hopper-v4_seed0_buf500000_batch512.pt,Hopper-v4,0,500000,512,1182.3905690538438,300.3486895794704,10
checkpoint_final_Hopper-v4_seed0_buf50000_batch64.pt,Hopper-v4,0,50000,64,55.71805695888095,14.43464296953965,10
checkpoint_final_Hopper-v4_seed1_buf300000_batch256.pt,Hopper-v4,1,300000,256,908.3003188857025,108.26145452686804,10
checkpoint_final_Hopper-v4_seed1_buf500000_batch128.pt,Hopper-v4,1,500000,128,850.6552734289933,269.62512625488273,10
checkpoint_final_Hopper-v4_seed1_buf500000_batch256.pt,Hopper-v4,1,500000,256,1979.7054827532284,866.9310210096982,10
checkpoint_final_Hopper-v4_seed1_buf500000_batch512.pt,Hopper-v4,1,500000,512,1038.8944501392552,405.20701513960955,10
checkpoint_final_Hopper-v4_seed2_buf300000_batch256.pt,Hopper-v4,2,300000,256,359.1678345862467,9.85862702199271,10
checkpoint_final_Hopper-v4_seed2_buf500000_batch128.pt,Hopper-v4,2,500000,128,1218.5959974566372,160.1605353985928,10
checkpoint_final_Hopper-v4_seed2_buf500000_batch256.pt,Hopper-v4,2,500000,256,842.4251083171728,80.3470735774339,10
checkpoint_final_Hopper-v4_seed2_buf500000_batch512.pt,Hopper-v4,2,500000,512,2492.681997543402,932.0652316235128,10
checkpoint_final_Hopper-v4_seed3_buf500000_batch256.pt,Hopper-v4,3,500000,256,1743.0699435127394,1131.9423728533684,10
checkpoint_final_Hopper-v4_seed4_buf500000_batch256.pt,Hopper-v4,4,500000,256,2749.2517771075027,765.2440920040196,10
