model,episode,total_reward,steps
half,1,500.0,500
half,2,500.0,500
half,3,500.0,500
half,4,500.0,500
half,5,500.0,500
half,6,500.0,500
half,7,500.0,500
half,8,500.0,500
half,9,500.0,500
half,10,500.0,500
half,11,500.0,500
half,12,500.0,500
half,13,500.0,500
half,14,500.0,500
half,15,500.0,500
half,16,500.0,500
half,17,500.0,500
half,18,500.0,500
half,19,500.0,500
half,20,500.0,500
half,21,500.0,500
half,22,500.0,500
half,23,500.0,500
half,24,500.0,500
half,25,500.0,500
half,26,500.0,500
half,27,500.0,500
half,28,500.0,500
half,29,500.0,500
half,30,500.0,500
half,31,500.0,500
half,32,500.0,500
half,33,500.0,500
half,34,500.0,500
half,35,500.0,500
half,36,500.0,500
half,37,500.0,500
half,38,500.0,500
half,39,500.0,500
half,40,500.0,500
half,41,500.0,500
half,42,500.0,500
half,43,500.0,500
half,44,500.0,500
half,45,500.0,500
half,46,500.0,500
half,47,500.0,500
half,48,500.0,500
half,49,500.0,500
half,50,500.0,500
half,51,500.0,500
half,52,500.0,500
half,53,500.0,500
half,54,500.0,500
half,55,500.0,500
half,56,500.0,500
half,57,500.0,500
half,58,500.0,500
half,59,500.0,500
half,60,500.0,500
half,61,500.0,500
half,62,500.0,500
half,63,500.0,500
half,64,500.0,500
half,65,500.0,500
half,66,500.0,500
half,67,500.0,500
half,68,500.0,500
half,69,500.0,500
half,70,500.0,500
half,71,500.0,500
half,72,500.0,500
half,73,500.0,500
half,74,500.0,500
half,75,500.0,500
half,76,500.0,500
half,77,500.0,500
half,78,500.0,500
half,79,500.0,500
half,80,500.0,500
half,81,500.0,500
half,82,500.0,500
half,83,500.0,500
half,84,500.0,500
half,85,500.0,500
half,86,500.0,500
half,87,500.0,500
half,88,500.0,500
half,89,500.0,500
half,90,500.0,500
half,91,500.0,500
half,92,500.0,500
half,93,500.0,500
half,94,500.0,500
half,95,500.0,500
half,96,500.0,500
half,97,500.0,500
half,98,500.0,500
half,99,500.0,500
half,100,500.0,500
final,1,500.0,500
final,2,500.0,500
final,3,500.0,500
final,4,500.0,500
final,5,500.0,500
final,6,500.0,500
final,7,500.0,500
final,8,500.0,500
final,9,500.0,500
final,10,500.0,500
final,11,500.0,500
final,12,500.0,500
final,13,500.0,500
final,14,500.0,500
final,15,500.0,500
final,16,500.0,500
final,17,500.0,500
final,18,500.0,500
final,19,500.0,500
final,20,500.0,500
final,21,500.0,500
final,22,500.0,500
final,23,500.0,500
final,24,500.0,500
final,25,500.0,500
final,26,500.0,500
final,27,500.0,500
final,28,500.0,500
final,29,500.0,500
final,30,500.0,500
final,31,500.0,500
final,32,500.0,500
final,33,500.0,500
final,34,500.0,500
final,35,500.0,500
final,36,500.0,500
final,37,500.0,500
final,38,500.0,500
final,39,500.0,500
final,40,500.0,500
final,41,500.0,500
final,42,500.0,500
final,43,500.0,500
final,44,500.0,500
final,45,500.0,500
final,46,500.0,500
final,47,500.0,500
final,48,500.0,500
final,49,500.0,500
final,50,500.0,500
final,51,500.0,500
final,52,500.0,500
final,53,500.0,500
final,54,500.0,500
final,55,500.0,500
final,56,500.0,500
final,57,500.0,500
final,58,500.0,500
final,59,500.0,500
final,60,500.0,500
final,61,500.0,500
final,62,500.0,500
final,63,500.0,500
final,64,500.0,500
final,65,500.0,500
final,66,500.0,500
final,67,500.0,500
final,68,500.0,500
final,69,500.0,500
final,70,500.0,500
final,71,500.0,500
final,72,500.0,500
final,73,500.0,500
final,74,500.0,500
final,75,500.0,500
final,76,500.0,500
final,77,500.0,500
final,78,500.0,500
final,79,500.0,500
final,80,500.0,500
final,81,500.0,500
final,82,500.0,500
final,83,500.0,500
final,84,500.0,500
final,85,500.0,500
final,86,500.0,500
final,87,500.0,500
final,88,500.0,500
final,89,500.0,500
final,90,500.0,500
final,91,500.0,500
final,92,500.0,500
final,93,500.0,500
final,94,500.0,500
final,95,500.0,500
final,96,500.0,500
final,97,500.0,500
final,98,500.0,500
final,99,500.0,500
final,100,500.0,500
