episode,reward
1,13.0
2,16.0
3,11.0
4,12.0
5,12.0
6,14.0
7,13.0
8,14.0
9,15.0
10,12.0
11,11.0
12,12.0
13,11.0
14,11.0
15,11.0
16,14.0
17,13.0
18,11.0
19,13.0
20,12.0
21,13.0
22,14.0
23,11.0
24,11.0
25,14.0
26,15.0
27,11.0
28,15.0
29,15.0
30,13.0
31,11.0
32,12.0
33,14.0
34,11.0
35,10.0
36,12.0
37,14.0
38,15.0
39,13.0
40,11.0
41,12.0
42,10.0
43,15.0
44,13.0
45,10.0
46,10.0
47,15.0
48,16.0
49,15.0
50,14.0
51,15.0
52,15.0
53,11.0
54,14.0
55,11.0
56,12.0
57,13.0
58,15.0
59,13.0
60,13.0
61,10.0
62,11.0
63,13.0
64,13.0
65,16.0
66,15.0
67,15.0
68,13.0
69,12.0
70,12.0
71,12.0
72,15.0
73,10.0
74,14.0
75,10.0
76,15.0
77,12.0
78,12.0
79,10.0
80,13.0
81,11.0
82,12.0
83,13.0
84,14.0
85,12.0
86,13.0
87,13.0
88,14.0
89,14.0
90,10.0
91,13.0
92,11.0
93,14.0
94,15.0
95,12.0
96,13.0
97,15.0
98,16.0
99,14.0
100,12.0
